id,inventory_id,attachment_str
1,1,photo-209871225_457239323
2,6,photo-209871225_457239207
3,7,photo-209871225_457239207
5,9,photo-209871225_457239239
6,10,photo-209871225_282103569
7,11,photo-209871225_457239080
8,12,photo-209871225_457239239
9,13,photo-209871225_457239080
10,14,photo-209871225_457239242
11,16,photo-209871225_457239337
12,15,photo-209871225_457239242
4,8,photo-209871225_457239337
